gravity_model,terminal_altitude_km,terminal_inertial_speed_m_s,terminal_fpa_deg,terminal_mass_t,max_dynamic_pressure_kpa
spherical,309.12568910443133,7721.943154519214,0.028787987193873654,69.00000000000628,21.87773265708663
j2,306.85500131582376,7723.3165435416595,-0.022116205669020138,69.00000000000628,21.87760503848966
j2_minus_spherical,-2.2706877886075745,1.3733890224457355,-0.05090419286289379,0.0,-0.0001276185969700805
