single_engine_reliability,starship_33_no_engine_out,cz10_21_no_engine_out_assumed,cz10_21_allow_one_engine_out_assumed
0.97,0.36598832426848915,0.5274805126389446,0.8700709486827956
0.98,0.5134054775281945,0.6542558123199923,0.9346511604571321
0.99,0.7177305325982749,0.8097278682212584,0.981488325116677
0.995,0.8475428503023452,0.9000874278732445,0.9950715283020795
0.997,0.9056079456455164,0.9388545698794984,0.9981803852279523
0.999,0.9675225846837673,0.9792086759647052,0.9997926421261254
