time_s,altitude_m,inertial_speed_m_s,relative_speed_m_s,flight_path_angle_deg,pitch_angle_deg,mass_kg,dynamic_pressure_Pa,mach_number,drag_force_N,thrust_force_N,axial_acceleration_g,density_kg_m3,temperature_K,stage_name
0.0,50.0,437.6270560935605,0.0,3.721077054616968e-15,90.0,2034000.0,0.0,0.0,0.0,26251545.0,1.316082893422796,1.2191306775752482,287.82500255059995,S1_booster_core
3.0,64.47904918249696,437.73237445931926,9.73729727846396,1.2745338813722864,90.0,2007392.5853684198,57.71552766010562,0.028635199936803826,1359.200676395487,26251992.402619738,1.3334808782331695,1.2174350693500426,287.73089042200064,S1_booster_core
7.0,130.72748061362654,438.24352514966347,23.54927492977862,3.080061878725611,90.0,1971916.457959111,335.43065669944156,0.06930499621710297,7899.391965271849,26254039.479150962,1.3572387647036996,1.2096999652786817,287.3002888113595,S1_booster_core
11.0,254.2098583560437,439.26359231346856,38.366960630528055,5.010444156920802,90.0,1936441.419233995,879.8161143466781,0.1130711633805961,20719.669492864265,26257855.084623203,1.381628801117523,1.1953831089243612,286.4977018491865,S1_booster_core
15.0,439.08194550778717,440.89787956644943,54.257266045545855,7.068289261573004,90.0,1900968.1489160988,1728.3235857490474,0.16023780076860708,40702.020444390066,26263567.63211619,1.4066454101406043,1.1741923306975517,285.29616403727056,S1_booster_core
19.0,689.7736765965819,443.26541377580065,71.29036381870905,9.254457560787152,90.0,1865497.3370847334,2911.962330906663,0.21114533566118063,68576.71289285191,26271314.006606836,1.4322912990353909,1.145919437573404,283.6669564710466,S1_booster_core
23.0,1011.0018333652988,446.51133484157845,89.53947381076244,11.567296363883527,89.94129101947529,1830029.6677464119,4451.452215963905,0.26617608493717715,104831.69968594995,26281239.956650987,1.4585833425327484,1.110459274681994,281.5795307383554,S1_booster_core
27.0,1407.7819524630904,450.896200597927,109.08036704812748,13.999031501572137,89.73336873232134,1794565.800653828,6352.799118929065,0.3257604862892775,149608.4192507795,26293500.46233111,1.4855599375046968,1.0678295555483803,279.0014388408202,S1_booster_core
31.0,1885.4383392864838,456.7177374114975,129.99143454600681,16.535341740090978,89.40228615761092,1759106.3519895878,8602.5789762032,0.3903869380470737,202590.73488958535,26308260.044683952,1.5132896436721641,1.0181908524911032,275.89827657851185,S1_booster_core
35.0,2449.6108554620296,464.26496721884746,152.35432802112877,19.156116296290836,88.95992425944644,1723651.8746781773,11163.339041207704,0.46061590403768016,262896.6344204414,26325692.975433778,1.5418807228365212,0.9618658781015575,272.23364917984344,S1_booster_core
39.0,3106.25913382601,473.82154152514306,176.25467889130405,21.835679227349736,88.41357366973577,1688202.8392182225,13969.577563734932,0.5370976927297659,328983.55162595765,26345983.407235224,1.5714910524670576,0.8993566694815222,267.96915504842616,S1_booster_core
43.0,3861.6650992026553,485.66244781366345,201.78286098401227,24.54364381829119,87.76842291518184,1652759.6160210222,16924.92008072846,0.6205950193470757,398581.86790115526,26369325.451565363,1.602337571576897,0.8313579831939476,263.06438204359176,S1_booster_core
47.0,4722.434449234046,500.04935139554584,229.03480674847845,27.246321079822405,87.02845945168197,1617322.460272076,19901.245524251008,0.7120121048707226,468674.3320961112,26395923.224481333,1.6347040681690408,0.7587649793922719,257.4769121726831,S1_booster_core
51.0,5695.497598627582,517.2262405548354,258.1128812926262,29.9085409960295,86.19689808944337,1581891.500296052,22740.61167523656,0.8124328236499485,535541.404951821,26425990.875797592,1.6689457577694997,0.6826730840292009,251.16233156038462,S1_booster_core
55.0,6788.110348137096,537.4163382615071,289.1267728233322,32.49565548696005,85.27641749682726,1546466.7303078251,25260.849463300427,0.9231714556414041,594893.004860725,26459752.60975744,1.7054887873508373,0.6043678158559196,244.0742441394725,S1_booster_core
59.0,8007.854134541936,560.8207954580042,322.1943010650246,34.97544815756092,84.26930406041873,1511048.0082846766,27265.601980020445,1.045841268893538,642104.9266294815,26497442.692757346,1.7448225977988925,0.5253023909197574,236.16429014111554,S1_booster_core
63.0,9362.635107823648,587.6192262618822,357.44198321964353,37.31969862722007,83.1775456299784,1475635.05951232,28559.330627370175,1.1824489199069057,672572.2362745677,26539305.42483175,1.7874830934054402,0.44706111585505415,227.382174416825,S1_booster_core
67.0,10860.680451832712,617.971714335256,395.0051370896373,39.505230950049075,82.0028958456524,1440227.4861523737,28967.341321763153,1.3355273595260813,682180.8881275223,26585595.02596163,1.8340249454895179,0.37130700694247276,217.6757149832942,S1_booster_core
71.0,12510.569574873894,652.045661981859,435.0598496760771,41.51631876157663,80.74692009475314,1404824.7627538727,27245.92262117962,1.4744318177463567,641641.47772878,26636576.599863604,1.8868870696290827,0.2878945898528819,216.65,S1_booster_core
75.0,14321.349571981467,689.9909907041917,477.7800104932545,43.341503629283274,79.41102942504116,1369426.1691316252,24727.030850975007,1.6192118162109017,582321.5765404614,26692529.70177423,1.944245199170704,0.21664367545187077,216.65,S1_booster_core
79.0,16302.258263926953,731.8946597675214,523.2772268265817,44.97077688208791,77.9965062457112,1334030.9548765502,21735.535283977908,1.7734033451021405,511871.8559376797,26753739.78035534,2.0058948470075357,0.15875838294339947,216.65,S1_booster_core
83.0,18462.572048476897,777.8258166629016,571.6610046288556,46.39936019325809,76.50452424355865,1298638.4303710633,18485.980355931682,1.9373775236147233,435344.8373821911,26820493.476297937,2.0718133099793734,0.11313457415275686,216.65,S1_booster_core
87.0,20811.53954257816,827.841971241935,623.0408523535449,47.62698114710149,74.93616411135788,1263247.985328207,15146.746523910706,2.1078902965213855,356705.8806380971,26893076.571865667,2.1420629790600194,0.07803982833465184,217.3937778172124,S1_booster_core
91.0,23358.329178343527,881.9991300725882,677.5331862373263,48.65714326989607,73.29242617305347,1227859.0953210194,11926.23647969421,2.279031248710302,280862.86909679865,26971772.371610817,2.216634894228182,0.051960373920313586,219.92300215819296,S1_booster_core
95.0,26111.95991508756,940.3446567594877,735.2487475887315,49.49570870023696,71.57424066267335,1192471.3264757365,9098.024293983775,2.4579482609167234,214258.4721233179,27056859.561376207,2.2953873121717456,0.03365956515125389,222.65537518515325,S1_booster_core
99.0,29081.218582275324,1002.9321769015751,796.3066174461571,50.15052191223465,69.7824761977908,1157084.3420634368,6724.553164908145,2.6446408451083476,158363.2270335868,27148609.654192306,2.378598592472738,0.02120961462639818,225.5990769351077,S1_booster_core
