time_s,downrange_km,altitude_km,horizontal_velocity_m_s,vertical_velocity_m_s,speed_m_s,flight_path_angle_deg,pitch_deg,mass_t,dynamic_pressure_kpa,stage
0.0,0.43762705609356045,0.05218081731018676,437.62705609356044,2.180817310186759,437.6324898693614,0.2855184379665868,90.0,2180.2170672410066,0.0,booster_core_cluster
5.0,2.6257623370692786,0.09750024380819372,437.6270563953586,13.816479444498123,437.8451045672506,1.8083047829506433,90.0,2136.302403446039,0.07882938289989888,booster_core_cluster
10.0,4.813897627500707,0.20473172202727802,437.62706008401136,26.70234908769394,438.44094147852564,3.491643091182387,90.0,2092.387739651072,0.34744220417025595,booster_core_cluster
15.0,7.002311183995137,0.38025280895172225,437.7562047896644,40.88055247019943,439.6609084307125,5.33518302222578,89.77987488277157,2048.4730758561045,0.8531527928094456,booster_core_cluster
20.0,9.192347823480377,0.6306492374559439,438.2286296229822,56.39227373954996,441.8420762656645,7.33265647498099,89.4388743849932,2004.5584120611372,1.6387655022220393,booster_core_cluster
25.0,11.386064803241473,0.9627096247067432,439.15283750965375,73.27779357823471,445.22449362594,9.473195012791544,89.02997418060893,1960.6437482661697,2.7379911203351095,booster_core_cluster
30.0,13.585983708362638,1.3834237897378285,440.6147189623295,91.57748877717484,450.03085118354517,11.741211789095168,88.56962276826405,1916.7290844712024,4.167604771934797,booster_core_cluster
35.0,15.795026852201175,1.8999871753709494,442.6915003548463,111.33314374507941,456.4765419850043,14.116644296162622,88.06678967439305,1872.8144206762352,5.926014416116312,booster_core_cluster
40.0,18.016489557274102,2.5198124253815792,445.4564642019732,132.58970339218237,464.77036366893134,16.57558806086495,87.52728656624208,1828.8997568812679,7.973035793059893,booster_core_cluster
45.0,20.25402862766322,3.2505545257186608,448.9815129170267,155.39812545650042,475.11364570664193,19.091377813383154,86.9552477906445,1784.9850930863004,10.247850835314155,booster_core_cluster
50.0,22.511660712621463,4.100142827056339,453.33886833810107,179.81620180306555,487.6986733393386,21.635680214484854,86.35379499643086,1741.070429291333,12.67400937533209,booster_core_cluster
55.0,24.79376849472899,5.076823701141961,458.60258790362116,205.9114238787541,502.70851207799785,24.179961941649427,85.72538517124859,1697.1557654963658,15.144829024444608,booster_core_cluster
60.0,27.1051155659559,6.189229137375085,464.85066744363246,233.76946839344984,520.321350105631,26.69743628982028,85.07201246930867,1653.2411017013983,17.356238649484823,booster_core_cluster
65.0,29.45087218598455,7.446483252321529,472.16660173405484,263.4946445436479,540.713165639851,29.163893524321875,84.39533414813503,1609.326437906431,19.257089595615223,booster_core_cluster
70.0,31.836643377062025,8.858262078016319,480.63993455412475,295.20264737492477,564.056158290429,31.557692113420945,83.69675362937747,1565.4117741114637,20.74011009705659,booster_core_cluster
75.0,34.268505201881624,10.434872109130465,490.36829254671784,329.0273636315485,590.5252478544086,33.86082486330143,82.97747771781904,1521.4971103164964,21.610405437587247,booster_core_cluster
80.0,36.75307427759755,12.187494747830673,501.4689328258557,365.1823576463158,620.3460686791077,36.06305395669063,82.2385574280243,1477.582446521529,20.572483801700674,booster_core_cluster
85.0,39.297590773408935,14.128430578708256,514.067811017454,403.8737939169808,653.7428819782076,38.15470229632687,81.48091797172746,1433.6677827265617,18.901219308237707,booster_core_cluster
90.0,41.90993544373148,16.270899745938546,528.2960982265263,445.281479655387,690.921387370128,40.12631534289208,80.70538132663259,1389.7531189315944,16.74182517705381,booster_core_cluster
95.0,44.59867457689801,18.62902994972787,544.294869502203,489.5877737286504,732.0881730713838,41.97106321355973,79.91268357804007,1345.8384551366269,14.27612627774765,booster_core_cluster
100.0,47.373110169841944,21.217865122150513,562.2154408101801,536.9768101511269,777.4511537874675,43.68465869443232,79.10348848463676,1301.9237913416596,11.669297012852363,booster_core_cluster
105.0,50.24333649579676,24.053390949338283,582.2211367981429,587.6398247992095,827.2254927313153,45.26538686464523,78.27839825746253,1258.0091275466923,9.07626615181819,booster_core_cluster
110.0,53.22029602685939,27.152543167302092,604.4857046042945,641.7652200201554,881.626658341539,46.71339664003585,77.43796224292112,1214.094463751725,6.7496966291654825,booster_core_cluster
115.0,56.31583841565196,30.533214129958154,629.1962691394815,699.5480691969076,940.8801444478272,48.030756840961864,76.58268400303524,1170.1797999567575,4.787381193472687,booster_core_cluster
120.0,59.542796115382096,34.21430750690286,656.5559561872661,761.1957272281031,1005.2286599352886,49.221166644866805,75.7130271518643,1126.2651361617902,3.2851436068363937,booster_core_cluster
125.0,62.91507884682994,38.21583409394025,686.7895172509191,826.9418570777813,1074.9477550062609,50.289782001575674,74.82942021379124,1082.350472366823,2.1433143746095658,booster_core_cluster
130.0,66.44779800120399,42.55907471849318,720.1478408400011,897.0532408417481,1150.3553492600445,51.24275569933209,73.93226070342297,1038.4358085718554,1.3623698315037107,booster_core_cluster
135.0,70.15740493634858,47.26674065196004,756.9114898042017,971.8312204433652,1231.816108202055,52.08673095272268,73.02191857935543,994.5211447768881,0.8599012951017803,booster_core_cluster
140.0,74.06187142649885,52.36321448838846,797.401094926375,1051.632880294373,1319.7652143870216,52.82876064501674,72.09873918931989,950.6064809819209,0.524755421177673,booster_core_cluster
145.0,78.18090170021495,57.874821070509526,841.9812610791055,1136.8681764960013,1414.7090495001805,53.47580866182698,71.16304579845936,906.6918171869535,0.32242499664918467,booster_core_cluster
150.0,82.53618214793956,63.83013264024563,891.071137670861,1228.0149326653386,1517.2437006753723,54.03464283931008,70.21514177312045,862.7771533919862,0.18206554068958233,booster_core_cluster
155.0,87.15168436328074,70.26033827187266,945.1543984734387,1325.6279447225274,1628.0682678508786,54.51165584611214,69.25531247781954,818.8624895970188,0.09293512543416425,booster_core_cluster
160.0,92.05402477180638,77.19966481197585,1004.792396940963,1430.352602260477,1748.0035262389158,54.91277165414317,68.28382693172139,774.9478258020515,0.03991730675048308,booster_core_cluster
161.0,92.74027427504002,78.17832980017833,1013.3590732797893,1445.1581251762132,1765.0435173562437,54.961484254227635,68.08815368274907,769.0000000000027,0.033258606937034266,booster_core_cluster
165.67720270270297,97.85420118688788,85.37532589818903,1029.183921347901,1435.60195880917,1766.4010099911538,54.36323803305541,67.16695300546152,502.7017528021979,0.013486040482104241,second_stage
170.67720270270297,103.04985105072812,92.5254733669884,1045.8781981793745,1426.3549481264395,1768.7141214655671,53.74917761842981,66.17140979379394,496.4035056043932,0.0,second_stage
175.67720270270297,108.331641905725,99.63027877398893,1063.465490826,1417.4037333150038,1772.002311903993,53.11942722429224,65.16496299892094,490.10525840658846,0.0,second_stage
180.67720270270297,113.7041118944988,106.69118282643262,1081.9703588292912,1408.7358407696413,1776.287287139705,52.47417091845427,64.14782771079847,483.8070112087837,0.0,second_stage
185.67720270270297,119.17192479503403,113.70956581364328,1101.4181618463165,1400.3390806042917,1781.5924079072047,51.81364829623227,63.120208564208454,477.508764010979,0.0,second_stage
190.67720270270297,124.73987254009012,120.68674519383272,1121.8347145368105,1392.200632733325,1787.9417575869068,51.13814670615025,62.08230053174337,471.21051681317425,0.0,second_stage
195.67720270270297,130.41287755733285,127.62397237493214,1143.2463084221636,1384.307023989086,1795.3601472647276,50.44800027606882,61.03428963624248,464.9122696153695,0.0,second_stage
200.67720270270297,136.19599522238036,134.5224293773364,1165.6797349726644,1376.6441040021073,1803.8731201527746,49.74358851756016,59.976353592822605,458.61402241756474,0.0,second_stage
205.67720270270297,142.09441643140437,141.38322537208583,1189.1623100908994,1369.1970197465241,1813.5069557692598,49.025334508369106,58.90866238913479,452.31577521976004,0.0,second_stage
210.67720270270297,148.11347030079767,148.20739308749205,1213.7219001693245,1361.9501886425803,1824.288674331504,48.29370265974558,57.83137881122546,446.0175280219553,0.0,second_stage
215.67720270270297,154.25862700234399,154.99588507663827,1239.3869499122245,1354.8872700963084,1836.2460418695948,47.54919608255109,56.74465892133645,439.71928082415053,0.0,second_stage
220.67720270270297,160.53550074331918,161.74956983754652,1266.1865121266337,1347.9911353433934,1849.4075766190049,46.792353573150386,55.648652493103945,433.4210336263458,0.0,second_stage
225.67720270270297,166.94985290202584,168.46922777709608,1294.1502797034987,1341.2438354496337,1863.8025572973893,46.02374624700092,54.5435034088803,427.1227864285411,0.0,second_stage
230.67720270270297,173.50759533042566,175.15554700899185,1323.3086200295922,1334.6265673041694,1879.4610339133756,45.24397385434894,53.429350023281266,420.8245392307363,0.0,second_stage
235.67720270270297,180.21479383680116,181.80911897520735,1353.6926120927321,1328.1196374234607,1896.4138417930483,44.45366081833164,52.30632549653334,414.52629203293156,0.0,second_stage
240.67720270270297,187.07767186276612,188.4304338793583,1385.334086567979,1321.702423363637,1914.6926195430033,43.653452040887714,51.17455810074639,408.22804483512687,0.0,second_stage
245.67720270270297,194.1026143704661,195.01987591938246,1418.2656692010983,1315.3533325159742,1934.3298316976136,42.84400852602668,50.03417150185236,401.9297976373221,0.0,second_stage
250.67720270270297,201.29617195748799,201.57771830569908,1452.5208278380885,1309.0497580345327,1955.3587968231595,42.02600287306758,48.885285019620845,395.63155043951735,0.0,second_stage
